EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,EducationField,Education,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,YearsAtCompany,YearsWithCurrManager,TotalWorkingYears,Attrition,AttritionLabel
1042,27,Male,Married,Research & Development,Laboratory Technician,3,Marketing,2,3715,12,0,No,Travel_Rarely,26,1,2,2,3,5,5,8,5,12,0,No
1043,19,Male,Divorced,Sales,Manager,2,Life Sciences,2,1010,22,1,No,Travel_Rarely,29,4,3,3,3,5,0,32,13,0,1,Yes
1044,26,Male,Divorced,Human Resources,Human Resources,4,Life Sciences,2,10234,21,1,Yes,Travel_Rarely,22,2,1,3,3,1,5,31,16,10,1,Yes
1045,20,Female,Divorced,Sales,Manager,2,Life Sciences,1,18497,14,2,No,Travel_Rarely,2,4,3,2,3,0,9,16,8,0,0,No
1046,38,Male,Divorced,Research & Development,Healthcare Representative,1,Medical,3,15829,21,2,No,Travel_Frequently,7,2,1,2,3,2,0,18,18,19,0,No
1047,43,Male,Single,Sales,Sales Representative,4,Other,3,11900,18,1,No,Travel_Rarely,13,2,2,1,4,3,7,26,4,26,1,Yes
1048,25,Male,Divorced,Research & Development,Manufacturing Director,3,Technical Degree,2,2870,18,1,No,Travel_Rarely,3,4,3,2,3,5,4,5,2,8,0,No
1049,19,Male,Married,Research & Development,Laboratory Technician,3,Life Sciences,4,6278,19,2,No,Travel_Rarely,15,2,2,3,3,1,5,34,30,1,0,No
1050,23,Male,Divorced,Sales,Sales Executive,4,Marketing,2,12121,13,1,Yes,Travel_Rarely,1,4,1,1,3,5,1,36,23,5,0,No
1051,45,Male,Single,Human Resources,Manager,2,Human Resources,1,16708,11,2,Yes,Travel_Rarely,26,1,1,2,3,4,1,33,33,28,0,No
1052,46,Female,Divorced,Research & Development,Healthcare Representative,1,Life Sciences,4,9329,19,2,No,Travel_Rarely,3,4,2,1,3,3,8,19,15,28,0,No
1053,43,Male,Single,Human Resources,Human Resources,1,Marketing,1,17830,11,0,No,Non-Travel,25,1,1,1,3,5,2,24,12,26,0,No
1054,42,Male,Married,Research & Development,Manufacturing Director,3,Medical,4,11749,13,0,No,Travel_Rarely,10,2,2,1,3,4,5,3,3,23,0,No
1055,29,Female,Single,Research & Development,Manufacturing Director,3,Marketing,4,4138,13,2,No,Travel_Frequently,27,4,2,1,3,4,9,9,5,11,0,No
1056,22,Female,Single,Human Resources,Manager,2,Medical,2,18294,19,2,No,Travel_Rarely,27,2,2,2,3,1,4,9,5,5,0,No
1057,51,Female,Married,Sales,Sales Executive,3,Other,1,15389,11,1,No,Travel_Frequently,15,4,1,3,4,1,3,23,8,33,0,No
1058,54,Male,Divorced,Sales,Manager,2,Life Sciences,4,12369,17,2,No,Travel_Rarely,22,1,3,3,3,4,9,20,3,33,0,No
1059,32,Female,Married,Sales,Manager,4,Technical Degree,1,6407,12,2,Yes,Travel_Rarely,27,1,2,2,3,0,1,10,10,16,0,No
1060,53,Male,Single,Sales,Sales Executive,1,Life Sciences,2,6538,17,0,No,Travel_Rarely,6,4,3,3,4,5,7,26,10,32,0,No
1061,32,Male,Single,Research & Development,Healthcare Representative,4,Medical,2,4927,11,2,No,Non-Travel,20,1,1,1,4,4,9,15,4,12,0,No
1062,40,Female,Married,Sales,Manager,3,Other,2,18460,23,1,Yes,Non-Travel,15,2,1,1,3,4,6,25,24,23,0,No
1063,23,Female,Divorced,Research & Development,Manufacturing Director,1,Marketing,2,17419,20,2,No,Travel_Rarely,24,2,3,1,3,1,1,29,16,3,0,No
1064,38,Male,Single,Research & Development,Laboratory Technician,1,Life Sciences,3,7946,20,0,No,Non-Travel,21,3,2,2,3,5,5,15,3,21,0,No
1065,40,Female,Married,Sales,Manager,4,Medical,4,8127,18,0,No,Non-Travel,7,1,1,1,3,2,7,6,6,24,1,Yes
1066,33,Female,Single,Research & Development,Research Scientist,2,Life Sciences,3,17940,20,0,No,Non-Travel,25,2,2,1,4,3,6,15,10,15,0,No
1067,32,Female,Married,Sales,Manager,1,Life Sciences,2,11869,23,0,No,Non-Travel,29,4,2,2,3,1,0,34,14,15,0,No
1068,42,Male,Single,Research & Development,Healthcare Representative,2,Marketing,4,6347,20,2,Yes,Non-Travel,29,1,3,1,3,5,4,15,13,21,0,No
1069,53,Male,Single,Sales,Sales Representative,4,Medical,4,13481,12,1,No,Travel_Rarely,21,2,1,1,4,5,1,39,12,35,0,No
1070,28,Male,Single,Human Resources,Human Resources,4,Medical,1,4149,13,1,No,Travel_Rarely,27,1,3,3,3,0,5,11,10,12,0,No
1071,32,Male,Single,Research & Development,Research Scientist,2,Marketing,2,9005,24,1,Yes,Travel_Rarely,5,4,1,2,3,3,6,34,25,11,0,No
1072,21,Male,Single,Sales,Manager,4,Life Sciences,3,16498,18,2,No,Non-Travel,4,2,3,1,4,1,6,20,8,3,0,No
1073,38,Female,Married,Sales,Sales Executive,1,Life Sciences,1,18983,13,2,No,Travel_Rarely,22,3,1,1,4,1,2,35,3,21,0,No
1074,30,Female,Single,Research & Development,Healthcare Representative,4,Medical,4,15210,11,2,No,Non-Travel,18,3,1,1,4,2,6,16,16,13,0,No
1075,39,Male,Single,Research & Development,Laboratory Technician,4,Human Resources,3,8785,19,1,No,Travel_Rarely,3,1,1,1,3,0,4,31,13,18,0,No
1076,36,Male,Single,Research & Development,Healthcare Representative,1,Technical Degree,2,5952,18,2,Yes,Non-Travel,17,4,2,3,3,0,7,5,1,17,0,No
1077,51,Male,Divorced,Research & Development,Manufacturing Director,2,Life Sciences,3,13895,14,2,No,Travel_Rarely,18,2,2,3,3,5,7,23,10,34,0,No
1078,31,Female,Married,Sales,Manager,4,Life Sciences,3,10006,18,0,No,Non-Travel,18,4,3,3,3,5,6,26,15,12,0,No
1079,21,Male,Married,Research & Development,Laboratory Technician,2,Medical,3,8807,24,0,No,Travel_Rarely,24,2,3,3,4,1,5,19,0,3,0,No
1080,44,Female,Married,Sales,Sales Executive,1,Marketing,1,18750,15,1,Yes,Travel_Rarely,24,1,1,2,3,2,1,24,6,25,0,No
1081,46,Female,Single,Research & Development,Healthcare Representative,2,Life Sciences,4,9101,13,0,No,Non-Travel,2,2,1,1,3,1,5,1,1,25,0,No
1082,45,Male,Single,Research & Development,Research Scientist,2,Medical,3,4234,11,0,No,Travel_Frequently,13,4,2,3,3,4,8,8,8,25,0,No
1083,52,Male,Married,Sales,Manager,3,Other,4,12819,23,0,No,Travel_Rarely,22,4,2,1,3,5,1,27,26,32,1,Yes
1084,25,Male,Married,Sales,Sales Executive,3,Medical,1,15923,20,2,Yes,Travel_Frequently,15,1,2,2,3,4,0,37,30,4,0,No
1085,33,Female,Divorced,Sales,Sales Executive,4,Life Sciences,2,3469,15,0,No,Travel_Rarely,5,4,3,1,3,2,4,2,0,18,0,No
1086,59,Female,Divorced,Sales,Manager,3,Medical,2,9746,21,0,No,Non-Travel,3,2,2,1,3,1,5,19,2,39,0,No
1087,53,Female,Married,Research & Development,Healthcare Representative,3,Life Sciences,3,14929,16,0,No,Travel_Rarely,5,1,3,3,3,5,2,5,5,32,0,No
1088,47,Female,Married,Research & Development,Research Scientist,3,Life Sciences,1,11763,14,2,No,Non-Travel,5,2,2,3,4,2,7,38,13,30,0,No
1089,35,Male,Single,Research & Development,Research Scientist,2,Human Resources,2,11842,17,1,No,Travel_Rarely,5,4,2,2,3,1,6,32,24,16,0,No
1090,19,Male,Single,Research & Development,Healthcare Representative,2,Life Sciences,1,4123,13,2,No,Travel_Rarely,3,1,1,1,3,1,1,0,0,0,0,No
1091,30,Female,Divorced,Sales,Manager,3,Life Sciences,1,18009,17,2,Yes,Travel_Rarely,3,2,3,3,3,4,6,36,14,13,0,No
1092,21,Female,Single,Research & Development,Healthcare Representative,1,Medical,3,16369,24,0,No,Non-Travel,20,4,2,3,4,3,0,5,1,1,0,No
1093,43,Female,Divorced,Research & Development,Manufacturing Director,3,Human Resources,3,18596,11,1,No,Travel_Rarely,23,4,1,3,3,0,8,33,23,25,0,No
1094,42,Female,Married,Research & Development,Research Scientist,1,Technical Degree,1,10960,17,0,No,Travel_Rarely,28,3,3,2,3,5,6,14,13,21,0,No
1095,47,Male,Married,Research & Development,Healthcare Representative,2,Life Sciences,1,3574,11,0,Yes,Travel_Rarely,28,4,3,1,3,0,5,25,15,26,0,No
1096,28,Male,Single,Research & Development,Manufacturing Director,1,Marketing,3,4183,23,1,Yes,Travel_Rarely,28,2,2,3,3,2,1,13,6,11,0,No
1097,24,Female,Married,Research & Development,Healthcare Representative,2,Medical,1,3639,21,1,No,Travel_Frequently,18,1,3,1,3,0,2,6,3,9,0,No
1098,48,Female,Married,Research & Development,Research Scientist,1,Medical,3,4170,11,2,Yes,Travel_Frequently,26,3,1,2,3,4,0,30,17,30,0,No
1099,27,Male,Married,Sales,Sales Executive,2,Marketing,4,5330,12,1,No,Travel_Rarely,20,4,1,1,3,3,9,23,23,8,0,No
1100,56,Male,Single,Sales,Sales Executive,2,Life Sciences,1,14213,12,2,Yes,Travel_Rarely,4,4,3,3,4,5,4,30,26,38,0,No
1101,30,Male,Single,Sales,Sales Executive,3,Other,3,8108,14,2,No,Travel_Rarely,1,4,1,1,3,1,8,28,4,15,0,No
1102,48,Male,Married,Research & Development,Manufacturing Director,4,Medical,1,12369,23,0,No,Non-Travel,26,2,3,1,3,1,5,31,5,30,0,No
1103,24,Male,Single,Sales,Manager,4,Life Sciences,3,11322,11,0,Yes,Travel_Frequently,16,3,1,2,3,4,4,16,6,8,0,No
1104,59,Female,Married,Research & Development,Laboratory Technician,2,Medical,1,14511,14,0,Yes,Travel_Frequently,8,2,3,2,3,5,2,13,9,40,0,No
1105,59,Female,Married,Human Resources,Human Resources,3,Life Sciences,2,6810,12,1,No,Non-Travel,17,3,3,1,3,0,4,39,0,40,0,No
1106,53,Female,Married,Sales,Sales Representative,4,Medical,2,15139,14,1,No,Travel_Rarely,8,1,3,1,3,1,7,35,3,35,1,Yes
1107,37,Female,Married,Research & Development,Healthcare Representative,4,Life Sciences,1,15280,14,2,No,Travel_Rarely,7,2,1,1,3,0,1,23,0,17,0,No
1108,21,Male,Single,Research & Development,Research Scientist,3,Life Sciences,2,17084,19,2,No,Non-Travel,25,2,3,2,3,4,4,26,10,5,0,No
1109,24,Female,Married,Sales,Manager,3,Marketing,1,5160,19,2,No,Travel_Rarely,8,1,3,2,3,1,5,24,17,4,1,Yes
1110,18,Male,Single,Sales,Sales Executive,4,Technical Degree,1,9920,11,1,Yes,Travel_Frequently,21,3,2,1,3,2,9,31,13,0,0,No
1111,59,Female,Single,Sales,Sales Representative,4,Life Sciences,4,19993,15,2,No,Travel_Rarely,24,4,2,2,3,3,7,17,10,39,1,Yes
1112,30,Female,Single,Sales,Manager,1,Medical,4,13870,17,2,No,Travel_Frequently,27,1,3,3,3,0,7,17,9,11,0,No
1113,39,Male,Married,Human Resources,Human Resources,1,Medical,2,1675,14,1,No,Non-Travel,26,4,2,2,3,5,4,36,16,20,1,Yes
1114,38,Male,Single,Research & Development,Manufacturing Director,2,Medical,4,17676,22,0,No,Travel_Rarely,12,4,3,2,3,0,8,25,3,18,0,No
1115,39,Male,Single,Research & Development,Manufacturing Director,4,Life Sciences,4,6849,15,1,No,Travel_Rarely,16,1,2,2,3,0,3,8,7,20,0,No
1116,45,Male,Married,Research & Development,Research Scientist,3,Marketing,1,4574,12,2,No,Travel_Rarely,12,3,1,3,4,0,8,34,25,24,0,No
1117,26,Male,Single,Research & Development,Manufacturing Director,3,Life Sciences,3,11435,13,0,No,Travel_Rarely,19,4,1,3,4,4,6,7,7,7,0,No
1118,43,Female,Married,Sales,Sales Representative,4,Human Resources,1,18858,17,1,No,Travel_Rarely,10,1,3,3,4,4,5,19,12,25,0,No
1119,26,Female,Married,Research & Development,Manufacturing Director,2,Medical,4,8375,20,0,No,Travel_Frequently,7,2,3,1,3,5,3,21,8,9,0,No
1120,32,Male,Divorced,Research & Development,Laboratory Technician,3,Technical Degree,1,16639,23,0,Yes,Travel_Rarely,12,2,1,1,3,4,1,18,10,12,1,Yes
1121,27,Male,Single,Research & Development,Laboratory Technician,4,Life Sciences,2,8391,17,2,Yes,Non-Travel,20,2,1,3,3,5,7,29,10,11,0,No
1122,41,Female,Single,Research & Development,Research Scientist,4,Technical Degree,3,17158,14,1,No,Non-Travel,5,1,2,1,3,5,5,27,5,26,0,No
1123,59,Male,Married,Sales,Manager,2,Life Sciences,4,16880,22,2,No,Travel_Rarely,16,2,3,1,3,4,2,34,0,39,0,No
1124,25,Male,Married,Sales,Sales Representative,4,Marketing,4,14282,11,1,Yes,Non-Travel,9,4,1,1,4,1,6,10,5,10,1,Yes
1125,41,Female,Single,Sales,Manager,3,Life Sciences,1,2001,11,1,Yes,Travel_Rarely,7,2,1,3,3,4,9,30,5,26,1,Yes
1126,33,Male,Married,Research & Development,Research Scientist,1,Medical,1,7867,14,1,Yes,Travel_Rarely,20,2,3,2,3,1,6,38,12,14,0,No
1127,43,Male,Divorced,Research & Development,Research Scientist,2,Life Sciences,1,3130,14,0,No,Travel_Rarely,22,4,2,3,3,2,5,35,21,24,0,No
1128,44,Male,Single,Research & Development,Manufacturing Director,4,Life Sciences,1,13397,16,0,No,Travel_Rarely,26,2,2,3,4,4,1,29,23,27,1,Yes
1129,54,Male,Married,Sales,Sales Representative,2,Medical,4,19616,17,2,No,Travel_Rarely,14,4,2,1,3,2,7,22,21,37,0,No
1130,21,Male,Single,Research & Development,Healthcare Representative,4,Medical,1,5145,19,1,No,Travel_Rarely,11,2,2,1,3,4,0,18,4,5,0,No
1131,41,Male,Divorced,Research & Development,Healthcare Representative,1,Medical,4,17736,19,1,No,Travel_Rarely,7,4,1,2,4,2,0,11,10,23,0,No
1132,36,Male,Married,Sales,Sales Executive,2,Life Sciences,1,13662,20,0,Yes,Travel_Frequently,29,2,3,2,3,3,5,14,1,15,0,No
1133,53,Female,Single,Sales,Sales Representative,4,Life Sciences,3,16488,22,1,No,Travel_Rarely,10,4,3,2,3,2,4,30,19,35,0,No
1134,56,Female,Married,Sales,Sales Representative,1,Technical Degree,3,5832,22,2,No,Travel_Frequently,29,1,1,2,3,1,8,36,13,40,0,No
1135,27,Female,Divorced,Human Resources,Human Resources,3,Marketing,1,5929,15,1,No,Travel_Rarely,9,4,1,3,3,0,6,36,4,7,0,No
1136,42,Male,Married,Sales,Sales Executive,4,Life Sciences,1,6480,20,1,No,Travel_Rarely,4,2,1,2,3,5,1,14,9,23,0,No
1137,35,Male,Single,Research & Development,Manufacturing Director,1,Medical,2,18281,21,0,Yes,Travel_Rarely,16,2,3,3,3,2,6,28,3,17,0,No
1138,36,Male,Married,Research & Development,Manufacturing Director,1,Technical Degree,3,10542,13,1,No,Travel_Frequently,10,3,3,1,4,0,2,25,1,21,0,No
1139,53,Female,Married,Research & Development,Manufacturing Director,2,Technical Degree,4,8136,13,2,No,Travel_Rarely,19,4,3,2,3,3,0,1,1,34,0,No
1140,27,Male,Single,Human Resources,Manager,4,Life Sciences,3,4729,16,2,No,Non-Travel,24,1,2,1,3,3,7,19,6,8,0,No
1141,50,Male,Single,Human Resources,Manager,3,Technical Degree,4,16705,11,2,No,Travel_Rarely,17,4,1,1,3,1,2,14,9,32,0,No
1142,22,Male,Married,Sales,Manager,4,Life Sciences,1,19808,17,2,No,Travel_Rarely,9,4,1,3,3,1,7,3,3,4,0,No
1143,52,Female,Married,Research & Development,Research Scientist,1,Marketing,3,19131,13,0,No,Travel_Rarely,13,1,1,2,3,2,6,21,9,37,0,No
1144,51,Female,Single,Sales,Sales Representative,3,Life Sciences,3,2373,15,1,Yes,Travel_Frequently,1,4,3,3,3,4,1,37,16,36,1,Yes
1145,50,Male,Married,Sales,Manager,1,Medical,2,3717,17,0,Yes,Travel_Frequently,2,1,1,1,3,3,0,22,20,33,0,No
1146,38,Female,Married,Sales,Sales Executive,2,Medical,2,13991,17,2,Yes,Travel_Rarely,13,1,1,2,3,0,6,25,12,22,0,No
1147,34,Male,Single,Research & Development,Manufacturing Director,4,Life Sciences,3,18317,19,1,No,Non-Travel,24,4,2,1,3,4,0,10,0,18,1,Yes
1148,39,Male,Single,Research & Development,Healthcare Representative,1,Medical,3,1160,11,0,No,Travel_Rarely,9,4,3,1,3,3,5,27,0,24,0,No
1149,54,Male,Married,Sales,Manager,1,Marketing,3,18305,13,1,No,Travel_Rarely,7,2,1,2,3,2,9,1,0,33,1,Yes
1150,32,Male,Married,Sales,Manager,4,Medical,4,3330,19,2,Yes,Travel_Rarely,16,2,3,2,3,3,9,7,0,17,0,No
1151,52,Male,Married,Human Resources,Manager,3,Life Sciences,1,14874,18,2,No,Travel_Rarely,19,3,3,2,3,1,7,28,5,35,0,No
1152,45,Female,Single,Sales,Manager,1,Life Sciences,2,1504,12,1,No,Travel_Rarely,7,3,3,3,3,0,6,10,8,24,0,No
1153,24,Female,Married,Sales,Sales Executive,4,Medical,1,12996,18,1,No,Non-Travel,6,4,2,3,3,0,3,36,25,6,0,No
1154,49,Male,Divorced,Research & Development,Manufacturing Director,2,Technical Degree,2,3157,18,2,No,Travel_Rarely,18,1,3,1,3,1,0,17,12,33,0,No
1155,28,Male,Married,Human Resources,Human Resources,2,Technical Degree,2,1565,12,0,No,Non-Travel,19,3,3,2,4,4,0,13,10,12,0,No
1156,27,Male,Single,Sales,Sales Representative,4,Life Sciences,2,14402,18,2,No,Non-Travel,11,4,3,1,3,1,3,9,0,6,0,No
1157,26,Male,Married,Research & Development,Manufacturing Director,1,Medical,3,2561,13,1,Yes,Travel_Rarely,29,3,1,1,3,0,4,34,29,6,0,No
1158,31,Female,Single,Research & Development,Research Scientist,4,Life Sciences,2,19513,17,0,No,Travel_Rarely,12,1,2,1,3,2,6,8,8,14,0,No
1159,30,Male,Single,Sales,Sales Executive,4,Other,1,4094,23,2,Yes,Travel_Rarely,29,4,1,1,3,4,3,34,7,13,1,Yes
1160,42,Female,Single,Research & Development,Manufacturing Director,1,Life Sciences,2,1165,19,1,Yes,Travel_Rarely,26,1,2,1,3,5,9,10,0,25,1,Yes
1161,19,Male,Single,Research & Development,Research Scientist,3,Medical,1,9935,14,1,Yes,Non-Travel,10,4,2,2,3,3,0,11,7,3,0,No
1162,52,Male,Married,Research & Development,Research Scientist,3,Marketing,2,8171,21,1,No,Travel_Rarely,13,3,3,3,3,5,9,2,0,33,0,No
1163,24,Male,Single,Research & Development,Manufacturing Director,2,Technical Degree,2,9064,16,0,No,Travel_Rarely,12,2,3,2,3,2,6,38,11,8,0,No
1164,38,Female,Divorced,Research & Development,Research Scientist,3,Life Sciences,3,5663,19,0,No,Travel_Rarely,21,3,1,2,3,5,1,13,4,19,0,No
1165,35,Female,Married,Sales,Sales Executive,4,Life Sciences,1,12477,21,0,Yes,Travel_Rarely,10,3,2,2,3,4,1,27,23,19,0,No
1166,20,Male,Married,Research & Development,Manufacturing Director,1,Medical,2,1163,21,0,No,Travel_Rarely,20,2,3,3,4,0,7,10,5,2,0,No
1167,59,Female,Married,Sales,Sales Representative,2,Medical,2,8959,15,1,No,Travel_Rarely,18,2,3,3,4,0,9,38,24,43,0,No
1168,56,Female,Married,Sales,Sales Representative,3,Life Sciences,1,16332,22,1,No,Travel_Rarely,4,4,3,3,3,2,9,24,0,38,0,No
1169,58,Male,Married,Sales,Manager,4,Medical,2,18389,11,0,No,Travel_Rarely,28,4,3,2,3,5,9,20,0,39,0,No
1170,28,Male,Married,Research & Development,Healthcare Representative,2,Medical,4,5635,13,0,Yes,Travel_Rarely,24,1,1,3,3,4,4,9,9,11,0,No
1171,56,Male,Divorced,Research & Development,Laboratory Technician,1,Technical Degree,3,15268,21,1,No,Travel_Rarely,5,1,1,1,3,3,9,14,9,37,1,Yes
1172,41,Male,Married,Sales,Sales Representative,3,Life Sciences,1,15882,19,2,No,Travel_Rarely,5,3,3,3,4,5,1,18,2,20,0,No
1173,36,Female,Married,Research & Development,Laboratory Technician,4,Life Sciences,3,14025,13,2,No,Travel_Rarely,29,2,3,2,3,5,4,21,16,19,0,No
1174,21,Male,Divorced,Sales,Sales Representative,1,Technical Degree,4,10378,21,1,No,Travel_Rarely,28,1,3,2,3,3,7,20,18,5,0,No
1175,43,Male,Married,Research & Development,Manufacturing Director,4,Marketing,4,1162,21,0,No,Travel_Rarely,12,3,3,1,3,1,5,31,27,27,0,No
1176,55,Male,Single,Sales,Sales Representative,4,Technical Degree,4,8862,20,0,No,Travel_Rarely,26,2,3,3,3,2,2,22,10,39,1,Yes
1177,59,Male,Single,Research & Development,Laboratory Technician,4,Technical Degree,1,13388,12,1,Yes,Travel_Rarely,3,4,2,3,3,4,7,12,12,43,1,Yes
1178,49,Male,Divorced,Research & Development,Manufacturing Director,1,Life Sciences,4,16801,14,2,Yes,Non-Travel,29,3,2,1,3,2,8,4,1,33,1,Yes
1179,56,Female,Single,Human Resources,Manager,2,Life Sciences,1,6608,15,1,Yes,Travel_Rarely,8,4,2,2,3,3,4,3,1,37,0,No
